Kategorier;Driftsformer;Antall
Dyr;Sau/vilsau;22
Dyr;Melkeproduksjon storfe/geit;9
Dyr;Oppfôring av kviger/okser;9
Dyr;Fjørfe;5
Dyr;Andre dyr;3
Dyr;Frilandsgris;2
Dyr;Fiske;2
Eiendom;Utleie av Byggninger/areal/maskiner;6
Eiendom;Kraftverk/fallrettigheter;3
Eiendom;Tomter;2
Planteproduksjon;Skog/ved;6
Planteproduksjon;Frukt og grønt;3
Tjenester;Brøyting;5
Tjenester;Leiekjøring;4
Tjenester;Inn på tunet/grønn omsorg;2
Tjenester;Andre tjenesteytende virksomhet;2
Videreforedling;Fôrsalg;1
Videreforedling;Hudpleie;1
