Intervjuobjekt;Kommunenr;Dato;Kj¿nn;Alder;Pros..Jobb;Bonde;tot.areal;Leie;Akt¿rer;Leie.hva;Tjene.nok;Landbrukutd.;H¿yere.utd.;Praktisk.utd.;Nytte.av.utd.;Belastning.helse;Ekstra.hjelp;Hvem.hjelper;Hva.betyr.b¾rekraftig.utvikling.for.deg.;FN.B.mŒl;NordH..Bios;Kommunen;B.viktighet;RŒdgivningsinstanser;Opps¿kt.rŒd;Tilrettelagt.etter.innspill;Del.av.nettverk;Netverk..Hvilke;Samfunn.i.bygda;Faglig.tidskrift;Str¿m;E..Str¿m;E..diesel;E..annet;Energisparing;E.Hvilke;Vannkilde;Sikkerhet.vann;Utnytter.energi;Avlinger;Artsmangfold;Gj¿dsle.innmark;Innmark.Kunst.husdyr;Utmark;Utmarksressurser;Utmark.Godt.utnyttet;Tilgang.fellesbeite;Skogproduksjon;Gj¿..Husdyr;F™rer.sau.utegang;Gj¿..Husdyr.hva;Gj¿..Husdyr.kj¿pt/fŒtt;Gj¿.Kunst;Gj¿..Kunst.type;Gj¿.Kunst.mengde;Gj¿.Kalk;Gj¿..Annet;Jordpr¿ver;Plan.fra.jordpr¿ve;Tiltak.jordsmonn;Kraftf™r;Kraftf™r/dk full og overflate;Mengde.Kraftf™r.Tonn;KSL;Driftsformer;Antall.driftsformer;Smaken.av.NH;Produkter.til.salgs;Selger.til;Drive.med.matproduksjon;Stolt.bonde;Respekt.som.bonde;lokal.matproduksjon.Vestlandet;Utfordringer.for.et.fremtidsrettet.bÌ_rekraftig.landbruk.;Tiltak.for.B.pŒ.gŒrden;Begrensninger.pŒ.Bdrift;PŒvirket.av.kilma;Frykter.pŒvirkning.klima;KlimapŒvirkning.hvordan;Grep.forbedredelse.klima;Forberedelse.klima.hvilke;Lenge.gŒrden.i.drift;¿konomisk.b¾rekraftig;¿kologisk.b¾rekraftig;Sosialt.b¾rekraftig
4;1411;28.02.19;Mann;45;40;16;9380;ja;3;Dyrket mark og beite;nei;nei;nei ;ja;4,50;4,00;ja;avl¿yser, familie;Ikke overutnytteing, Drive jorda;ja;nei;nei;5,00;Tine, NLR, LK, Naboer;Ja;5,00;ja;Bygd, Bondelaget ,Jaktlag;6,00;4,00;ja;Nett;ja;Ved, bensin;ja;Varmepumpe kobler til varmekabler;Privat vannverk;6,00;4,00;Gress;2,00;ja;husdyr /Kunst;ja;Jakt hjort, Beite, Ved, Kraftverk, st¿l;4,00;ja;ja;ja;nei;Ku;nei;ja;25-2-6, ;9,00;ja;nei;ja;ja;Ikke h¿stpl¿ying, Kantsoner;ja;0.392156863;60,00;ja;Melk, Br¿yting, Leiekj¿ring, Utstyrsutleie, oppforing av kalv;4,00;nei;Melk, kj¿tt ku, gormekalv, drektige kviger;Tine, nortura;5,00;ja;ja;6,00;FŒ solgt varene, nybygging av areal;Byggninger;2,00;ja;ja;vŒtt;ja;Gr¿fting, tvillinghjul;10;ja;ja;ja
6;1251;11.02.19;Kvinne;49;0;20;1500;nei;0;0;nei;nei;nei ;ja;1,00;2,00;ja;ekstra hjelp;Mat for Œ overleve, bo folk i bygdene, tradisjoner, kulturlandskap, kortreist mat;ja;nei;ja;5,00;Landbrukskontoret, norsk Sau og geit;Nei;5,00;nei;0;6,00;2,00;ja;Nett;ja;Ved;ja;Varmepumpe, lite bruk;Br¿nn;5,00;3,00;Gress;5,00;ja;husdyr /Kunst;ja;Fjellbeite, skog, hytteutleie;3,00;ja;ja;ja;nei;Sau;nei;ja;18- 3-15,;1,00;ja;nei;nei;ja;Tilf¿rsel av husdyrgj¿dsel;ja;0.052631579;1,00;ja;Sau, ved, Erstatning fra kraftverk;3,00;nei;Kj¿tt, ull, ved;Nortura;3,00;ja;nei;6,00;Alt man ikke fŒr gjort, tid.;Utleie leilighet/hytte;4,00;nei;nei;NA;nei;NA;25;nei;ja;ja
7;1411;28.02.19;Mann;50;0;19;7400;ja;5;Dyrket mark og beite;ja;ja;nei ;ja;4,00;5,00;ja;avl¿yser, familie;Bruke ressurser du har;ja;nei;nei;4,00;LK, NLR, Nortura, Tine;Ja;4,00;ja;Bondelaget, Tine-produsentlag, Felleskj¿pet;5,00;5,00;ja;Nett;ja;Ved, bensin;ja;Slokke lys, Ved;Privat vannverk;6,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Beite, Jakt hjort, Ved, skog;5,00;ja;ja;ja;nei;Ku;nei;ja;nitrogen, 21-3-10;12,00;ja;nei;ja;ja;Gr¿fter, Avskj¾ringsgr¿fter i liene, Ikke h¿stpl¿ying, rask tillegg;ja;0.298804781;75,00;ja;Melk, forer opp kalv, Lokalt brannvesen;3,00;nei;Gormekalv, Kviger drektig, Melk, Kj¿tt;Tine, nortura;4,00;ja;nei;6,00;Klima, tidspress;Lausdrift og robot, etterisolert hus;4,00;ja;ja;VŒtt, elv, ras;ja;Flomsikring, sj¿en stiger;50;ja;ja;ja
8;1266;18.02.19;Par;31;100;3;NA;ja;1;Dyrket mark;nei;nei;ja;ja;4,00;5,00;nei;venner;ikke ¿delegge, tavare pŒ;ja;ja;nei;6,00;NLR, naboer, 4H, ;Ja;5,00;ja;4H, B¿nder/Naboer, NLR;6,00;1,00;ja;Nett;ja;Ved, bensin;ja;Etterisolert, vannbŒren varme kjelleren;Kommunalt;3,00;2,00;Gress, poteter;4,00;ja;Kunst;ja;Beite, Skog, ved, jakt, fiske;3,00;ja;nei;ja;ja;Ku;ja;ja;18-3-15,;3,00;ja;nei;ja;ja;Bekymret jordpakking;ja;0.111111111;1,00;ja;Sau, Hest, H¿ner, Mange andre dyr;4,00;ja;Kj¿tt sau, Skinnfeller sau, Ridetimer, Egg, GŒrdsopplevelser;Fatland, Private, Skoler;6,00;ja;ja;6,00;Gode l¿sninger, sirkul¾r ressursbruk, tenke nytt ikke bare subsidier;Utleie, videreutvikle Œpen gŒrd/gŒrdsopplevelse, bir¿kter, Kunnskap, oppussing, SlŒtteutstyr;4,00;ja;ja;vŒtt, f™r kvalitet;nei;;50;nei;ja;ja
9;1256;21.02.19;Par;49;70;29;1167;ja;19;Dyrket mark og beite;nei;nei;nei ;ja;6,00;5,00;ja;avl¿yser;N¾ring som b¾rer seg selv, negativ trend/hets;nei;nei;nei;6,00;Venner, Dyrlege, Tine, NLR;Ja;5,00;ja;B¿nder gjennom dyrebilkj¿ring;3,00;4,00;ja;Nett, Agregat;ja;Ved;ja;Sparer i hus;Kommunalt;6,00;4,50;Gress;3,00;ja;husdyr /Kunst;ja;Lynghei, beite, jakt, ved;2,00;ja;nei;ja;ja;Ku;nei;ja;22-2-10, 25-2-6, 27-0-0;24,00;ja;nei;ja;ja;Tvillinghjul, vanskleig Œ gr¿fte;ja;0.238095238;75,00;ja;melk, sau uteganger;2,00;ja;Oksekalver, melk, kj¿tt sau, kj¿tt ku, Drektige kviger;Nortura, Tine;6,00;ja;nei;3,00;Respekt, inntekt, Norsk mat kvalitet;Redskapshus, L¿sdriftfj¿s;3,00;nei;nei;;ja;Gr¿fting;70;ja;ja;ja
11;1411;18.02.19;Mann;47;0;20;560;ja;5;Dyrket mark og beite;nei;nei;nei ;ja;4,00;3,00;ja;avl¿yser, naboer, familie;Utvikling, Alle trenger mat, Dette er norge kan flytte produksjoen men ikke arealene. ;ja;ja;nei;4,00;Tine, NLR, Nortura, Naboer, LK;Ja;4,00;ja;Naboer, Sau og geit;6,00;5,00;ja;Nett, utbygd kraftverk;ja;Ved;ja;Varmepumpe, ved;Br¿nn;6,00;4,00;Gress;5,00;ja;husdyr /Kunst;ja;Beite, skog, vann, jakt;5,00;ja;ja;ja;nei;Sau, Ku;nei;ja;25-2-6, opti NS;8,50;ja;nei;ja;ja;Kalking, Tvillinghjul, gr¿fting;ja;0.244755245;35,00;ja;Melk, sau, Drektige kviger, leiekj¿ring, fallrettigheter;5,00;ja;Kj¿tt ku, kj¿tt sau, ull, Drektige kviger;Nortura, Tine, private;5,00;ja;ja;6,00;Uvitenhet, Politisk vilje, Regn, Samvirkeorganisasjonen;Slakteri for hjort, Ny gj¿dsellagring;3,00;ja;nei;;ja;Gr¿fter;20;nei;ja;ja
13;1263;20.02.19;Mann;54;100;25;400;ja;1;Dyrket mark og beite;nei;nei;ja;ja;3,50;2,00;ja;familie;Jordbruket mŒ b¾re seg selv, mŒ ha inntekt i tillegg, Verdens avtaler;nei;nei;nei;6,00;NLR, Naboer;Ja;3,00;ja;Beitelag;5,00;2,00;ja;Nett;ja;Ved;ja;Vedfyring;Borrehull;2,00;2,00;Gress;2,00;ja;husdyr /Kunst;ja;Beite, skog, ved, jakt hjort;3,00;nei;ja;ja;ja;Sau;nei;ja;22-2-12, 18-3-15;4,00;ja;nei;ja;ja;Gr¿fting, tvillinghjul;ja;0.068965517;4,00;ja;Sau, H¿ns, Villsau;3,00;ja;Kj¿tt, ull;Notrura;6,00;ja;nei;6,00;RammevilkŒr, ¯konomi, rovdyr;Vedlikeholde gŒrden, litt fornying;4,00;ja;ja;VŒtt, t¿rt, avrenning, skred;ja;Gr¿fting;100;nei;ja;ja
14;1263;04.02.19;Mann;48;0;25;300;ja;8;Dyrket mark og beite;nei;ja;nei ;ja;5,00;5,00;ja;familie, naboer, avlÌüyser;holde i hevd,fŒr igjen det man legger i det, investeringer for Œ kunne f¿lge med.;nei;nei;nei;5,00;NLR, Landbrukskontoret, nabo;Nei;4,00;ja;Bondelaget;3,00;2,00;ja;Nett;ja;Ved;nei;NA;Br¿nn, kommunalt;5,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Skog, beite, t¿mmer, jakt;4,00;ja;ja;ja;ja;Sau, okse;nei;ja;18-3-15, 25-2-6;20,00;ja;nei;ja;ja;Mindre pl¿ying/fresing, Liten traktor med tvillinghjul;ja;1.338582677;170,00;ja;Okser, Sau, br¿yting, vanning for steinbrudd, Ringehjelp mekaniker;5,00;ja;Kj¿tt okse, kj¿tt, sau, ull;Notrura;6,00;ja;ja;4,50;Kampen mot resten av samfunnet, Mye teoretisk/sertifisering/byrŒkrati, oppsyn;NA;3,50;ja;nei;NA;nei;NA;50;nei;ja;nei
16;1260;24.01.19;Kvinne;32;50;2;158;nei;0;0;ja;ja;ja;ja;6,00;3,00;ja;venner, familie;ser pŒ helheten kompleksiteten, lokale forhold, klima og r¿dt kj¿tt, milj¿ü klima og samfunn, Orientere oss globalt men med lokalt utgangspunkt;ja;ja;nei;6,00;NLR, Sogn jord og hagebruksskole, Andre bÌünder, Naboer, Matarena, Kompetanenettverket, Stend Jordbrukskole, Fylkesmannen;Ja;4,00;ja;Lokalmat, Smaken av Nordhordland, Arrangement Bondelaget;4,00;2,00;ja;Nett;ja;NA;ja;Minimere bruk, oppgradere elanlegg, isolere hus, naturlig ventilasjon, Vurderer sol/vind;Offentlig;6,00;5,00;Gress;6,00;ja;Husdyr;ja;Skog, Beite;2,00;nei;nei;ja;nei;Ku, Gris;ja;nei;0;0,00;ja;nei;ja;ja;Bedre jordarbeidmetoder, mindre pl¿ying, artsrik eng;ja;0.104166667;2,50;ja;Klatring, Gris, h¿ner, ender, Blomster, Geiter, Bier, hudpleie;8,00;ja;Svinekj¿tt, Egg, Blomster, Honning, ull, hudpleie;Forbruker,Resturant, Honningsentralen;6,00;ja;nei;6,00;Landbrukspolitikken sammenligner med Europa vi har andre forutsetninger, dyrevelferd og menneske helse, Nedleggelse av slakteri, myrjord, balanse mellom uttak og bevaring, utstyr tilpasset skalaen, ordninger tilpasset volum ikke ressursgrunnlag.;ikke tunge maskiner, fŒ opp pH, lettere utstyr;4,00;nei;nei;Endrete dyrkningsforhold, nedb¿r, dyrke andre arter, ¿delegge rotsystemet til plantene;nei;NA;100;ja;ja;ja
18;1263;31.01.19;Par;49;100;10;90;ja;2;Dyrket mark og beite;nei;nei;ja;ja;2,00;3,50;ja;familie;Komplekst, matmangel i verden, kostnadseffektivt, solidaritetstanken, lakseopprett, utvikkling uten Œ ¿delegge naturen;nei;nei;ja;5,00;NLR, Landbrukskontoret, Bondelaget, naboer;Ja;4,00;ja;V¾ring, villsau, venner/kjente;5,00;0,00;ja;Nett;ja;Bensin;nei;Lite bruk;Borrehull, br¿nn;4,00;4,50;Gress;4,00;ja;husdyr /Kunst;ja;Beite, skog, hjortejakt;4,00;ja;ja;nei;ja;Vilsau ute;nei;ja;18- 3-15, ;1,00;nei;nei;ja;ja;NysŒing, gr¿fting, spr¿yter for ugress, Kj¿rer ATV;ja;0.04;0,20;ja;Vilsau utegang, F™rsalg;2,00;nei;Kj¿tt, , f™r;Nortura, Naboer;5,00;ja;ja;6,00;mye byrŒkrati, mye sertifiseringer som b¿ndene mŒ betale for, mye papirarbeid som ikke er tilpasset st¿rrelsen pŒ driften;SlŒmaskin til ATV, Gammeldags drift, Mye hŒndarbeid, Sau pŒ utegang;5,00;ja;ja;VŒtt til t¿rking av t¿rh¿y, t¿rt til at gresset skal vokse;ja;Endre slŒttem¿nster, Gr¿fte;10;nei;ja;ja
