Intervjuobjekt;Kommunenr;Dato;KjÌünn;Alder;Pros..Jobb;Bonde;tot.areal;Leie;AktÌürer;Leie.hva;Tjene.nok;Landbrukutd.;HÌüere.utd.;Praktisk.utd.;Nytte.av.utd.;Belastning.helse;Ekstra.hjelp;Hvem.hjelper;Hva.betyr.bÌ_rekraftig.utvikling.for.deg.;FN.B.mÌ´l;NordH..Bios;Kommunen;B.viktighet;RÌ´dgivningsinstanser;OppsÌükt.rÌ´d;Tilrettelagt.etter.innspill;Del.av.nettverk;Netverk..Hvilke;Samfunn.i.bygda;Faglig.tidskrift;StrÌüm;E..StrÌüm;E..diesel;E..annet;Energisparing;E.Hvilke;Vannkilde;Sikkerhet.vann;Utnytter.energi;Avlinger;Artsmangfold;GjÌüdsle.innmark;Innmark.Kunst.husdyr;Utmark;Utmarksressurser;Utmark.Godt.utnyttet;Tilgang.fellesbeite;Skogproduksjon;NÌ_ringstoffregnskap;GjÌü..Husdyr;FÌ«rer.sau.utegang;GjÌü..Husdyr.hva;GjÌü..Husdyr.kjÌüptfÌ´tt;GjÌü.Kunst;GjÌü..Kunst.type;GjÌü..Kunst.mengde;GjÌü..Kalk;GjÌü..Annet;JordprÌüver;Plan.fra.jordprÌüve;Tiltak.jordsmonn;KraftfÌ«r;Kraftf™r/dk full og overflate;Mengde.KraftfÌ«r.Tonn;KSL;MiljÌüplan;Driftsformer;Antall.driftsformer;Smaken.av.NH;Produkter.til.salgs;Selger.til;Drive.med.matproduksjon;Stolt.bonde;Respekt.som.bonde;lokal.matproduksjon.Vestlandet;Utfordringer.for.et.fremtidsrettet.bÌ_rekraftig.landbruk.;Tiltak.for.B.pÌ´.gÌ´rden;Begrensninger.pÌ´.Bdrift;PÌ´virket.av.kilma;Frykter.pÌ´virkning.klima;KlimapÌ´virkning.hvordan;Grep.forbedredelse.klima;Forberedelse.klima.hvilke;Lenge.gÌ´rden.i.drift;Ì÷konomisk.bÌ_rekraftig;Ì÷kologisk.bÌ_rekraftig;Sosialt.bÌ_rekraftig;TilfÌüyelse
4;1411;28.02.19;Mann;45;40;16;9380;ja;3;Dyrket mark og beite;nei;nei;nei ;ja;4,50;4,00;ja;avlÌüyser, familie;Ikke overutnytteing, Drive jorda;ja;nei;nei;5,00;Tine, NLR, LK, Naboer;Ja;5,00;ja;Bygd, Bondelaget ,Jaktlag;6,00;4,00;ja;Nett;ja;Ved, bensin;ja;Varmepumpe kobler til varmekabler;Privat vannverk;6,00;4,00;Gress;2,00;ja;husdyr /Kunst;ja;Jakt hjort, Beite, Ved, Kraftverk, stÌül;4,00;ja;ja;;ja;nei;Ku;nei;ja;25-2-6, ;9,00;ja;nei;ja;ja;Ikke hÌüstplÌüying, Kantsoner;ja;0.392156863;60,00;ja;;Melk, BrÌüyting, LeiekjÌüring, Utstyrsutleie, oppforing av kalv;4,00;nei;Melk, kjÌütt ku, gormekalv, drektige kviger;Tine, nortura;5,00;ja;ja;6,00;FÌ´ solgt varene, nybygging av areal;Byggninger;2,00;ja;ja;vÌ´tt;ja;GrÌüfting, tvillinghjul;10;ja;ja;ja;
6;1251;11.02.19;Kvinne;49;0;20;1500;nei;0;0;nei;nei;nei ;ja;1,00;2,00;ja;ekstra hjelp;Mat for Ì´ overleve, bo folk i bygdene, tradisjoner, kulturlandskap, kortreist mat;ja;nei;ja;5,00;Landbrukskontoret, norsk Sau og geit;Nei;5,00;nei;0;6,00;2,00;ja;Nett;ja;Ved;ja;Varmepumpe, lite bruk;BrÌünn;5,00;3,00;Gress;5,00;ja;husdyr /Kunst;ja;Fjellbeite, skog, hytteutleie;3,00;ja;ja;Nei;ja;nei;Sau;nei;ja;18- 3-15,;1,00;ja;nei;nei;ja;TilfÌürsel av husdyrgjÌüdsel;ja;0.052631579;1,00;ja;Ja;Sau, ved, Erstatning fra kraftverk;3,00;nei;KjÌütt, ull, ved;Nortura;3,00;ja;nei;6,00;Alt man ikke fÌ´r gjort, tid.;Utleie leilighet/hytte;4,00;nei;nei;NA;nei;NA;25;nei;ja;ja;Planlagt vindmÌülleutbygging BKK, Hytteutbygging i nÌ_romrÌ´det kontra boligutbygging. 
7;1411;28.02.19;Mann;50;0;19;7400;ja;5;Dyrket mark og beite;ja;ja;nei ;ja;4,00;5,00;ja;avlÌüyser, familie;Bruke ressurser du har;ja;nei;nei;4,00;LK, NLR, Nortura, Tine;Ja;4,00;ja;Bondelaget, Tine-produsentlag, FelleskjÌüpet;5,00;5,00;ja;Nett;ja;Ved, bensin;ja;Slokke lys, Ved;Privat vannverk;6,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Beite, Jakt hjort, Ved, skog;5,00;ja;ja;;ja;nei;Ku;nei;ja;nitrogen, 21-3-10;12,00;ja;nei;ja;ja;GrÌüfter, AvskjÌüringsgrÌüfter i liene, Ikke hÌüstplÌüying, rask tillegg;ja;0.298804781;75,00;ja;;Melk, forer opp kalv, Lokalt brannvesen;3,00;nei;Gormekalv, Kviger drektig, Melk, KjÌütt;Tine, nortura;4,00;ja;nei;6,00;Klima, tidpress;Lausdrift og robot, etterisolert hus;4,00;ja;ja;VÌ´tt, elv, ras;ja;Flomsikring, sjÌüen stiger;50;ja;ja;ja;
8;1266;18.02.19;Par;31;100;3;NA;ja;1;Dyrket mark;nei;nei;ja;ja;4,00;5,00;nei;venner;ikke Ìüdelegge, tavare pÌ´;ja;ja;nei;6,00;NLR, naboer, 4H, ;Ja;5,00;ja;4H, BÌünder/Naboer, NLR;6,00;1,00;ja;Nett;ja;Ved, bensin;ja;Etterisolert, vannbÌ´ren varme kjelleren;Kommunalt;3,00;2,00;Gress, poteter;4,00;ja;Kunst;ja;Beite, Skog, ved, jakt, fiske;3,00;ja;nei;;ja;ja;Ku;ja;ja;18-3-15,;3,00;ja;nei;ja;ja;Bekymret jordpakking;ja;0.111111111;1,00;ja;;Sau, Hest, HÌüner, Mange andre dyr;4,00;ja;KjÌütt sau, Skinnfeller sau, Ridetimer, Egg, GÌ´rdsopplevelser;Fatland, Private, Skoler;6,00;ja;ja;6,00;Gode lÌüsninger, sirkulÌ_r ressursbruk, tenke nytt ikke bare subsidier;Utleie, videreutvikle Ì´pen gÌ´rd/gÌ´rdsopplevelse, birÌükter, Kunnskap, oppussing, SlÌ´tteutstyr;4,00;ja;ja;vÌ´tt, fÌ«r kvalitet;nei;;50;nei;ja;ja;
9;1256;21.02.19;Par;49;70;29;1167;ja;19;Dyrket mark og beite;nei;nei;nei ;ja;6,00;5,00;ja;avlÌüyser;NÌ_ring som bÌ_rer seg selv, negativ trend/hets;nei;nei;nei;6,00;Venner, Dyrlege, Tine, NLR;Ja;5,00;ja;BÌünder gjennom dyrebilkjÌüring;3,00;4,00;ja;Nett, Agregat;ja;Ved;ja;Sparer i hus;Kommunalt;6,00;4,50;Gress;3,00;ja;husdyr /Kunst;ja;Lynghei, beite, jakt, ved;2,00;ja;nei;;ja;ja;Ku;nei;ja;22-2-10, 25-2-6, 27-0-0;24,00;ja;nei;ja;ja;Tvillinghjul, vanskleig Ì´ grÌüfte;ja;0.238095238;75,00;ja;;melk, sau uteganger;2,00;ja;Oksekalver, melk, kjÌütt sau, kjÌütt ku, Drektige kviger;Nortura, Tine;6,00;ja;nei;3,00;Respekt, inntakt, Norsk mat kvalitet;Redskapshus, LÌüsdriftfjÌüs;3,00;nei;nei;;ja;GrÌüfting;70;ja;ja;ja;
11;1411;18.02.19;Mann;47;0;20;560;ja;5;Dyrket mark og beite;nei;nei;nei ;ja;4,00;3,00;ja;avlÌüyser, naboer, familie;Utvikling, Alle trenger mat, Dette er norge kan flytte produksjoen men ikke arealene. ;ja;ja;nei;4,00;Tine, NLR, Nortura, Naboer, LK;Ja;4,00;ja;Naboer, Sau og geit;6,00;5,00;ja;Nett, utbygd kraftverk;ja;Ved;ja;Varmepumpe, ved;BrÌünn;6,00;4,00;Gress;5,00;ja;husdyr /Kunst;ja;Beite, skog, vann, jakt;5,00;ja;ja;;ja;nei;Sau, Ku;nei;ja;25-2-6, opti NS;8,50;ja;nei;ja;ja;Kalking, Tvillinghjul, grÌüfting;ja;0.244755245;35,00;ja;;Melk, sau, Drektige kviger, leiekjÌüring, fallrettigheter;5,00;ja;KjÌütt ku, kjÌütt sau, ull, Drektige kviger;Nortura, Tine, private;5,00;ja;ja;6,00;Uvitenhet, Politisk vilje, Regn, Samvirkeorganisasjonen;Slakteri for hjort, Ny gjÌüdsellagring;3,00;ja;nei;;ja;GrÌüfter;20;nei;ja;ja;EL-gjerder rundt hytter
13;1263;20.02.19;Mann;54;100;25;400;ja;1;Dyrket mark og beite;nei;nei;ja;ja;3,50;2,00;ja;familie;Jordbruket mÌ´ bÌ_re seg selv, mÌ´ ha inntekt i tillegg, Verdens avtaler;nei;nei;nei;6,00;NLR, Naboer;Ja;3,00;ja;Beitelag;5,00;2,00;ja;Nett;ja;Ved;ja;Vedfyring;Borrehull;2,00;2,00;Gress;2,00;ja;husdyr /Kunst;ja;Beite, skog, ved, jakt hjort;3,00;nei;ja;Nei;ja;ja;Sau;nei;ja;22-2-12, 18-3-15;4,00;ja;nei;ja;ja;GrÌüfting, tvillinghjul;ja;0.068965517;4,00;ja;;Sau, HÌüns, Villsau;3,00;ja;KjÌütt, ull;Notrura;6,00;ja;nei;6,00;RammevilkÌ´r, Ì÷konomi, rovdyr;Vedlikeholde gÌ´rden, litt fornying;4,00;ja;ja;VÌ´tt, tÌürt, avrenning, skred;ja;GrÌüfting;100;nei;ja;ja;Matlager, Forsikring for landet, selvforsyning
14;1263;04.02.19;Mann;48;0;25;300;ja;8;Dyrket mark og beite;nei;ja;nei ;ja;5,00;5,00;ja;familie, naboer, avlÌüyser;holde i hevd,fÌ´r igjen det man legger i det, investeringer for Ì´ kunne fÌülge med.;nei;nei;nei;5,00;NLR, Landbrukskontoret, nabo;Nei;4,00;ja;Bondelaget;3,00;2,00;ja;Nett;ja;Ved;nei;NA;BrÌünn, kommunalt;5,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Skog, beite, tÌümmer, jakt;4,00;ja;ja;Nei;ja;ja;Sau, okse;nei;ja;18-3-15, 25-2-6;20,00;ja;nei;ja;ja;Mindre plÌüying/fresing, Liten traktor med tvillinghjul;ja;1.338582677;170,00;ja;Ja;Okser, Sau, brÌüyting, vanning for steinbrudd, Ringehjelp mekaniker;5,00;ja;KjÌütt okse, kjÌütt, sau, ull;Notrura;6,00;ja;ja;4,50;Kampen mot resten av samfunnet, Mye teoretisk/sertifisering/byrŒkrati, oppsyn;NA;3,50;ja;nei;NA;nei;NA;50;nei;ja;nei;
16;1260;24.01.19;Kvinne;32;50;2;158;nei;0;0;ja;ja;ja;ja;6,00;3,00;ja;venner, familie;ser pÌ´ helheten kompleksiteten, lokale forhold, klima og rÌüdt kjÌütt, miljÌü klima og samfunn, Orientere oss globalt men med lokalt utgangspunkt;ja;ja;nei;6,00;NLR, Sogn jord og hagebruksskole, Andre bÌünder, Naboer, Matarena, Kompetanenettverket, Stend Jordbrukskole, Fylkesmannen;Ja;4,00;ja;Lokalmat, Smaken av Nordhordland, Arrangement Bondelaget;4,00;2,00;ja;Nett;ja;NA;ja;Minimere bruk, oppgradere elanlegg, isolere hus, naturlig ventilasjon, Vurderer sol/vind;Offentlig;6,00;5,00;Gress;6,00;ja;Husdyr;ja;Skog, Beite;2,00;nei;nei;Nei;ja;nei;Ku, Gris;ja;nei;0;0,00;ja;nei;ja;ja;Bedre jordarbeidmetoder, mindre plÌüying, artsrik eng;ja;0.104166667;2,50;ja;Ja;Klatring, Gris, hÌüner, ender, Blomster, Geiter, Bier, hudpleie;8,00;ja;SvinekjÌütt, Egg, Blomster, Honning, ull, hudpleie;Forbruker,Resturant, Honningsentralen;6,00;ja;nei;6,00;Landbrukspolitikken sammenligner med europa vi har andre foruttsettninger, dyrevelferd og menneste helse, Nedleggelse av slakteri, myrjord, balanse mellom uttak og bevaring, utstyr tilpasset skalaen, ordninger tilpasset volum ikke resursgrunnlag.;ikke tunge maskiner, fÌ´ opp pH, lettere utstyr;4,00;nei;nei;Endrete dyrkningsforhold, nedbÌür, dyrke andre arter, Ìüdelegge rotsystemet til plantene;nei;NA;100;ja;ja;ja;Frykter omregulering
18;1263;31.01.19;Par;49;100;10;90;ja;2;Dyrket mark og beite;nei;nei;ja;ja;2,00;3,50;ja;familie;Komplekst, matmangel i verden, kostnadseffektivt, solidaritetstanken, lakseopprett, utvikkling uten Ì´ Ìüdelegge naturen;nei;nei;ja;5,00;NLR, Landbrukskontoret, Bondelaget, naboer;Ja;4,00;ja;VÌ_ring, villsau, venner/kjente;5,00;0,00;ja;Nett;ja;Bensin;nei;Lite bruk;Borrehull, brÌünn;4,00;4,50;Gress;4,00;ja;husdyr /Kunst;ja;Beite, skog, hjortejakt;4,00;ja;ja;Nei;nei;ja;Vilsau ute;nei;ja;18- 3-15, ;1,00;nei;nei;ja;ja;NysÌ´ing, grÌüfting, sprÌüyter for ugress, KjÌürer ATV;ja;0.04;0,20;ja;Ja;Vilsau utegang, FÌ¦rsalg;2,00;nei;KjÌütt, , fÌ«r;Nortura, Naboer;5,00;ja;ja;6,00;mye byrÌ´krati, mye sertifiseringer som bÌündene mÌ´ betale for, mye papirarbeid som ikke er tilpasset stÌürrelsen pÌ´ driften;SlÌ´maskin til ATV, Gammeldags drift, Mye hÌ´ndarbeid, Sau pÌ´ utegang;5,00;ja;ja;VÌ´tt til tÌürking av tÌürhÌüy, tÌürt til at gresset skal vokse;ja;Endre slÌ´ttemÌünster, GrÌüfte;10;nei;ja;ja;Vei omlegging for Ì´ hindre hovedtrafikkÌ´re rett gjennom gÌ´rden.
